EmployeeID,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,BusinessTravel,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,DistanceFromHome,Attrition
EMP0085,22,Female,Research & Development,Research Director,Bachelor,Human Resources,Divorced,Travel_Rarely,10408,21,0,0,0,3,0,Yes,1,3,2,2,1,4,26,Yes
EMP0086,45,Male,Sales,Sales Representative,College,Human Resources,Married,Travel_Rarely,5520,14,18,3,6,19,7,No,2,1,3,2,1,3,11,No
EMP0087,34,Male,Sales,Sales Representative,College,Medical,Married,Travel_Frequently,4103,15,12,8,8,13,4,No,2,3,2,2,1,4,14,No
EMP0088,54,Male,Sales,Sales Executive,Master,Medical,Married,Travel_Rarely,5929,19,3,2,0,10,1,No,3,4,1,1,4,3,3,No
EMP0089,44,Male,Sales,Sales Representative,Bachelor,Other,Married,Travel_Frequently,5820,24,11,1,5,11,3,Yes,4,4,2,4,2,4,17,No
EMP0090,41,Female,Research & Development,Manager,Master,Human Resources,Divorced,Travel_Rarely,11274,14,2,1,0,8,1,Yes,4,4,4,1,1,3,29,No
EMP0091,44,Male,Sales,Sales Executive,Master,Other,Married,Travel_Rarely,7757,19,17,12,1,17,3,No,1,1,3,3,4,3,15,No
EMP0092,39,Male,Research & Development,Laboratory Technician,Doctor,Medical,Married,Travel_Frequently,4372,13,12,2,7,13,0,Yes,4,3,4,2,1,3,29,Yes
EMP0093,52,Male,IT,IT Manager,Doctor,Technical Degree,Married,Non-Travel,14996,13,13,0,13,20,3,Yes,3,1,2,1,1,3,13,Yes
EMP0094,50,Male,Marketing,Marketing Manager,Master,Life Sciences,Married,Travel_Rarely,10110,13,5,4,2,10,4,Yes,3,3,1,3,2,3,9,No
EMP0095,28,Female,IT,IT Support,Bachelor,Human Resources,Married,Travel_Rarely,4658,15,3,0,3,6,5,No,3,4,4,1,4,3,14,No
EMP0096,43,Female,Sales,Sales Executive,College,Human Resources,Divorced,Travel_Rarely,5349,15,4,1,2,8,2,No,2,3,2,4,3,3,17,No
EMP0097,42,Female,Human Resources,Recruiter,Master,Life Sciences,Divorced,Travel_Frequently,6659,18,19,3,1,22,7,No,3,1,1,4,1,3,29,No
EMP0098,42,Male,Sales,Sales Representative,Below College,Life Sciences,Married,Travel_Rarely,5375,11,10,6,1,17,2,Yes,3,1,4,3,4,4,24,No
EMP0099,26,Female,Sales,Sales Executive,Master,Medical,Single,Non-Travel,6228,21,3,0,3,4,3,Yes,4,3,3,3,3,3,17,Yes
EMP0100,46,Male,Research & Development,Manager,Doctor,Other,Married,Travel_Frequently,11060,24,8,1,1,10,7,No,1,1,1,2,3,3,28,No
EMP0101,36,Male,Sales,Sales Representative,College,Other,Single,Travel_Frequently,3486,19,0,0,0,7,1,No,4,3,2,4,2,3,23,Yes
EMP0102,39,Female,IT,IT Manager,College,Human Resources,Married,Travel_Frequently,14158,17,12,4,7,17,6,Yes,4,4,3,4,2,4,15,No
EMP0103,34,Male,Research & Development,Manager,Bachelor,Life Sciences,Married,Travel_Frequently,13031,16,5,2,4,9,3,No,3,3,1,2,3,3,8,No
EMP0104,55,Male,Sales,Sales Representative,Master,Other,Married,Travel_Rarely,5358,21,10,8,9,14,3,Yes,2,1,4,1,1,3,11,No
EMP0105,27,Male,IT,Data Analyst,Master,Technical Degree,Single,Travel_Rarely,6692,14,2,0,1,5,0,No,2,4,2,3,2,3,23,No
EMP0106,35,Male,IT,Software Engineer,Bachelor,Other,Divorced,Travel_Rarely,8350,12,2,0,1,8,3,No,2,2,3,3,4,4,19,Yes
EMP0107,51,Female,Research & Development,Manager,College,Other,Divorced,Travel_Rarely,13501,21,22,16,22,22,6,No,3,3,1,4,2,3,9,No
EMP0108,31,Female,Marketing,Marketing Executive,College,Life Sciences,Married,Travel_Frequently,3759,11,1,0,0,3,3,No,3,1,3,1,3,3,6,No
EMP0109,56,Male,Finance,Financial Analyst,Bachelor,Medical,Single,Travel_Rarely,6622,19,0,0,0,7,2,No,2,2,4,4,4,3,23,No
EMP0110,31,Male,IT,IT Manager,Bachelor,Medical,Married,Travel_Rarely,11768,23,5,1,0,9,7,Yes,4,4,3,4,2,4,15,No
EMP0111,47,Female,IT,Software Engineer,College,Life Sciences,Single,Travel_Rarely,10717,15,11,7,8,15,1,No,3,3,2,1,4,3,25,No
EMP0112,54,Female,IT,Data Analyst,Master,Medical,Divorced,Travel_Rarely,9631,11,16,1,10,16,6,Yes,2,2,2,2,2,3,22,No
EMP0113,31,Female,Research & Development,Research Director,College,Other,Single,Travel_Rarely,11338,15,2,2,2,2,1,Yes,4,2,3,4,2,4,28,Yes
EMP0114,23,Male,IT,Data Analyst,Bachelor,Marketing,Single,Travel_Rarely,6731,22,0,0,0,7,7,No,1,2,4,3,2,3,28,Yes
EMP0115,42,Male,IT,IT Manager,Doctor,Life Sciences,Married,Non-Travel,11802,20,7,6,0,13,7,No,4,4,2,4,2,3,5,No
EMP0116,25,Female,IT,IT Manager,College,Other,Divorced,Travel_Rarely,13804,22,1,1,1,6,7,No,3,2,3,4,1,3,27,No
EMP0117,54,Female,Finance,Finance Manager,Doctor,Technical Degree,Married,Travel_Rarely,10057,13,3,0,3,4,1,Yes,1,4,1,1,4,4,22,No
EMP0118,51,Female,IT,IT Manager,Bachelor,Human Resources,Divorced,Travel_Frequently,11856,15,15,4,11,22,2,No,3,4,2,1,3,3,3,No
EMP0119,37,Female,Sales,Sales Executive,Bachelor,Other,Married,Non-Travel,4809,17,1,1,0,8,0,Yes,2,1,4,4,1,4,21,No
EMP0120,35,Male,Research & Development,Manager,Master,Other,Married,Travel_Frequently,13370,12,3,3,0,9,5,Yes,3,1,2,3,3,3,27,No
EMP0121,45,Male,Research & Development,Research Scientist,Master,Life Sciences,Single,Travel_Frequently,7692,24,13,9,5,19,5,No,3,3,2,3,1,4,24,No
EMP0122,57,Female,Finance,Accountant,Master,Life Sciences,Married,Travel_Rarely,5020,19,7,0,5,7,7,No,2,3,1,3,1,3,23,Yes
EMP0123,51,Male,Human Resources,HR Manager,Master,Medical,Divorced,Travel_Rarely,12294,15,11,2,10,18,4,No,1,4,4,1,3,3,23,No
EMP0124,33,Male,Research & Development,Manager,Bachelor,Other,Single,Travel_Rarely,10900,13,8,2,3,12,2,No,2,4,1,1,3,3,23,Yes
EMP0125,27,Male,Marketing,Content Specialist,Master,Human Resources,Married,Travel_Rarely,3802,20,5,0,1,5,4,No,3,4,3,4,2,4,6,No
EMP0126,29,Male,IT,Software Engineer,Bachelor,Life Sciences,Single,Travel_Rarely,8687,24,2,0,1,8,5,Yes,2,3,2,2,1,3,19,No
EMP0127,22,Female,Research & Development,Research Director,Master,Life Sciences,Married,Non-Travel,12224,18,0,0,0,7,4,No,4,1,1,1,4,3,15,No
EMP0128,41,Male,Sales,Sales Manager,Doctor,Human Resources,Married,Travel_Rarely,11488,12,17,17,1,20,2,Yes,1,3,3,4,4,4,13,Yes
EMP0129,30,Male,Sales,Sales Representative,College,Medical,Divorced,Travel_Frequently,4184,23,8,6,2,11,6,No,2,3,4,2,4,4,25,No
EMP0130,49,Female,Finance,Accountant,Bachelor,Marketing,Married,Travel_Rarely,8412,15,20,10,17,23,0,No,2,2,2,4,4,4,22,No
EMP0131,45,Male,Finance,Accountant,College,Other,Married,Non-Travel,6015,18,6,1,3,10,7,No,1,1,3,4,3,3,5,No
EMP0132,22,Male,Human Resources,HR Manager,Bachelor,Medical,Married,Travel_Rarely,10127,15,0,0,0,6,4,No,2,4,4,3,3,4,15,Yes
EMP0133,56,Male,Research & Development,Laboratory Technician,Bachelor,Medical,Single,Travel_Rarely,5681,23,22,5,3,23,6,No,3,3,2,4,1,3,19,No
EMP0134,53,Female,Research & Development,Laboratory Technician,Bachelor,Marketing,Married,Travel_Rarely,4148,22,12,2,9,12,1,Yes,3,3,4,3,1,3,8,No
EMP0135,40,Male,Research & Development,Manager,Master,Technical Degree,Single,Travel_Rarely,11902,16,4,4,3,8,0,No,3,3,4,3,1,3,14,No
EMP0136,38,Male,Sales,Sales Representative,Bachelor,Marketing,Divorced,Travel_Rarely,5835,20,15,11,11,18,3,No,4,2,3,1,2,4,19,No
EMP0137,25,Male,Human Resources,Recruiter,Bachelor,Other,Single,Travel_Rarely,5046,14,2,0,2,9,1,Yes,1,1,1,1,1,4,22,No
EMP0138,24,Male,Finance,Finance Manager,Doctor,Other,Single,Travel_Rarely,10341,22,1,1,1,8,0,No,2,1,4,3,4,3,5,No
EMP0139,34,Male,IT,Software Engineer,College,Marketing,Married,Travel_Rarely,8576,14,7,7,4,10,4,Yes,3,2,3,4,3,3,13,No
EMP0140,40,Male,Finance,Accountant,Bachelor,Other,Single,Non-Travel,6171,16,5,1,0,11,6,Yes,4,2,2,2,1,3,21,No
EMP0141,51,Male,IT,Software Engineer,Master,Medical,Single,Travel_Rarely,9870,19,20,12,20,22,3,No,2,3,1,3,3,4,21,No
EMP0142,51,Male,IT,IT Support,Below College,Medical,Married,Travel_Rarely,4256,17,3,0,2,9,5,Yes,3,2,2,2,4,3,6,No
EMP0143,29,Female,IT,IT Manager,Master,Human Resources,Married,Travel_Rarely,10910,23,0,0,0,5,7,No,4,3,1,1,3,3,12,Yes
EMP0144,44,Female,Finance,Accountant,Master,Other,Single,Travel_Rarely,5294,20,0,0,0,3,2,No,3,3,1,1,3,3,12,No
EMP0145,49,Male,Marketing,Marketing Executive,Master,Life Sciences,Married,Travel_Rarely,5389,19,8,2,1,15,4,Yes,1,2,1,1,4,4,2,No
EMP0146,28,Male,Research & Development,Manager,College,Medical,Married,Non-Travel,14007,15,3,1,2,6,1,No,4,4,2,2,1,4,14,No
EMP0147,45,Female,Sales,Sales Representative,Bachelor,Other,Married,Travel_Rarely,4048,19,1,1,0,4,7,Yes,3,3,2,1,4,3,15,No
EMP0148,33,Male,Sales,Sales Representative,Master,Technical Degree,Single,Travel_Rarely,5435,19,10,5,4,11,3,No,2,1,2,3,4,3,13,No
EMP0149,30,Female,Marketing,Content Specialist,Bachelor,Medical,Married,Travel_Frequently,4637,16,7,0,6,7,6,Yes,3,4,4,3,1,3,5,No
EMP0150,32,Female,Human Resources,HR Manager,Bachelor,Technical Degree,Married,Travel_Frequently,11012,20,5,0,0,7,6,Yes,1,2,1,2,3,3,20,No
EMP0151,52,Female,Research & Development,Laboratory Technician,Doctor,Other,Single,Travel_Frequently,3436,19,8,1,0,9,1,No,3,4,2,1,2,3,14,No
EMP0152,52,Female,Human Resources,HR Executive,Bachelor,Marketing,Divorced,Travel_Rarely,4915,11,2,1,1,6,2,No,4,3,1,2,3,3,5,Yes
EMP0153,44,Female,Research & Development,Research Director,Bachelor,Medical,Married,Travel_Rarely,16735,22,22,5,21,23,6,No,3,1,3,1,2,3,1,No
EMP0154,41,Female,Research & Development,Research Scientist,Bachelor,Marketing,Single,Travel_Rarely,8199,22,17,11,8,21,4,Yes,2,3,3,1,4,4,13,No
EMP0155,48,Male,Sales,Sales Executive,Master,Technical Degree,Married,Travel_Rarely,5952,11,1,0,0,8,1,No,3,4,4,1,2,4,4,No
EMP0156,47,Male,IT,Software Engineer,Master,Marketing,Married,Travel_Rarely,9425,19,12,3,3,18,2,No,1,1,2,1,1,3,19,Yes
EMP0157,28,Female,Sales,Sales Manager,Bachelor,Life Sciences,Married,Travel_Rarely,11076,20,1,1,0,5,2,Yes,4,3,2,4,1,3,5,Yes
EMP0158,45,Female,Research & Development,Research Director,Bachelor,Human Resources,Married,Non-Travel,14250,18,7,6,4,10,0,Yes,2,4,3,2,1,3,28,Yes
EMP0159,31,Female,Research & Development,Research Scientist,Master,Medical,Single,Travel_Rarely,6436,13,7,6,6,12,0,Yes,4,3,2,3,4,4,16,No
EMP0160,57,Female,IT,IT Support,Below College,Life Sciences,Married,Travel_Frequently,4371,21,6,5,4,11,6,No,3,3,2,2,4,3,25,No
EMP0161,22,Male,Sales,Sales Executive,College,Human Resources,Divorced,Travel_Rarely,5794,11,0,0,0,6,2,Yes,1,3,4,2,4,3,9,No
EMP0162,27,Male,Sales,Sales Executive,Bachelor,Technical Degree,Married,Non-Travel,7269,11,5,3,3,9,3,No,4,4,3,1,3,3,3,No
EMP0163,54,Male,Sales,Sales Representative,College,Other,Married,Travel_Rarely,4814,23,13,1,12,19,2,No,3,2,1,1,1,3,11,Yes
EMP0164,52,Male,IT,IT Manager,Master,Technical Degree,Single,Non-Travel,14191,15,3,3,2,4,4,No,4,3,2,4,3,3,11,No
EMP0165,27,Male,Sales,Sales Executive,Bachelor,Technical Degree,Divorced,Travel_Rarely,6286,15,0,0,0,4,6,No,2,4,3,1,2,3,15,No
EMP0166,40,Female,Sales,Sales Manager,Bachelor,Marketing,Married,Non-Travel,10515,23,17,9,8,17,2,No,2,1,2,2,2,3,10,No
EMP0167,37,Female,Research & Development,Research Director,Master,Medical,Single,Non-Travel,13615,21,1,1,1,2,2,No,3,3,3,1,3,4,6,Yes
EMP0168,30,Female,Sales,Sales Representative,Master,Human Resources,Single,Travel_Rarely,3500,14,0,0,0,7,1,Yes,3,4,2,1,4,4,25,Yes
EMP0169,25,Male,Sales,Sales Executive,Bachelor,Marketing,Divorced,Non-Travel,6920,14,2,0,0,5,0,No,1,1,2,2,4,3,28,Yes
EMP0170,50,Male,IT,IT Manager,Bachelor,Life Sciences,Single,Non-Travel,13556,20,8,2,7,11,1,No,2,4,1,4,3,3,8,No
EMP0171,24,Male,Research & Development,Laboratory Technician,Bachelor,Marketing,Married,Non-Travel,3219,17,1,1,0,3,1,No,2,2,2,3,3,3,17,No
EMP0172,46,Male,Marketing,Marketing Manager,Bachelor,Technical Degree,Single,Travel_Rarely,11397,19,6,0,3,9,1,Yes,2,4,3,1,2,3,2,No
EMP0173,32,Male,Research & Development,Manager,Doctor,Human Resources,Single,Non-Travel,12821,21,9,8,3,14,1,No,2,4,4,4,3,3,28,Yes
